gemeente_id,Provinciecode,Provincienaam,Gemeentenaam,BevAant,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020
228,25,Gelderland,Ede,115710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,2,5,5
317,26,Utrecht,Eemnes,9113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1
770,30,Noord-Brabant,Eersel,19110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,2.0,3,4,4
1903,31,Limburg,Eijsden-Margraten,25658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3.0,4.0,4,4,4
772,30,Noord-Brabant,Eindhoven,231642,0,0,0,0,0,1,1,3,4,4,6,7,8,8,8.0,12.0,13.0,21.0,21.0,22,23,24
230,25,Gelderland,Elburg,23086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,1,1
114,22,Drenthe,Emmen,107113,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1,2,3
388,27,Noord-Holland,Enkhuizen,18507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1,5
153,23,Overijssel,Enschede,158986,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,3.0,3.0,3,4,7
232,25,Gelderland,Epe,33145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2,4,4
233,25,Gelderland,Ermelo,26858,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,4.0,5.0,7.0,8.0,8,8,8
777,30,Noord-Brabant,Etten-Leur,43774,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5.0,6.0,7.0,8.0,10.0,12,13,14
779,30,Noord-Brabant,Geertruidenberg,21515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3.0,5,7,7
1771,30,Noord-Brabant,Geldrop-Mierlo,39595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,2.0,2.0,3.0,3,3,4
1652,30,Noord-Brabant,Gemert-Bakel,30447,0,0,0,0,0,0,0,1,1,1,1,1,2,4,7.0,11.0,13.0,16.0,20.0,25,26,31
907,31,Limburg,Gennep,17071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,2,4
784,30,Noord-Brabant,Gilze en Rijen,26431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,3,5
1924,28,Zuid-Holland,Goeree-Overflakkee,49611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,2.0,4.0,5,7,8
664,29,Zeeland,Goes,37653,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.0,2.0,2.0,2.0,2.0,2,3,3
785,30,Noord-Brabant,Goirle,23793,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6.0,6.0,6.0,6.0,9.0,9,9,11
1942,27,Noord-Holland,Gooise Meren,57715,0,0,0,0,0,0,1,1,2,2,2,2,2,3,3.0,3.0,4.0,4.0,4.0,9,9,10
512,28,Zuid-Holland,Gorinchem,36682,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
513,28,Zuid-Holland,Gouda,73181,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.0,2.0,2.0,3.0,4.0,5,7,9
786,30,Noord-Brabant,Grave,12483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,2
14,20,Groningen,Groningen,231299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,3.0,6.0,7.0,7,11,23
1729,31,Limburg,Gulpen-Wittem,14246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,2,2,2
158,23,Overijssel,Haaksbergen,24277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,1,1
788,30,Noord-Brabant,Haaren,14195,0,0,0,0,0,0,0,0,0,0,0,2,2,6,6.0,7.0,7.0,7.0,7.0,7,9,9
392,27,Noord-Holland,Haarlem,161265,0,0,0,0,0,1,1,1,1,1,2,2,1,1,1.0,4.0,4.0,4.0,6.0,7,7,10
394,27,Noord-Holland,Haarlemmermeer,154235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,2.0,4,4,5
1655,30,Noord-Brabant,Halderberge,30194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2,2,2
160,23,Overijssel,Hardenberg,60574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
243,25,Gelderland,Harderwijk,47581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,4.0,4,5,5
523,28,Zuid-Holland,Hardinxveld-Giessendam,18051,0,0,0,0,0,0,1,2,4,4,4,4,5,5,5.0,5.0,5.0,5.0,5.0,5,5,5
72,21,Friesland,Harlingen,15758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1,1
244,25,Gelderland,Hattem,12173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
396,27,Noord-Holland,Heemskerk,39164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,2.0,2,2,3
397,27,Noord-Holland,Heemstede,27286,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.0,2.0,2.0,2.0,5.0,5,5,5
246,25,Gelderland,Heerde,18546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3,3,4
74,21,Friesland,Heerenveen,50257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
398,27,Noord-Holland,Heerhugowaard,56742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,2,2
917,31,Limburg,Heerlen,86832,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,2.0,4.0,5.0,6.0,8,14,15
1658,30,Noord-Brabant,Heeze-Leende,15964,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,2.0,3,4,4
399,27,Noord-Holland,Heiloo,23464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,2.0,2.0,3.0,3,3,3
163,23,Overijssel,Hellendoorn,35808,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,2
530,28,Zuid-Holland,Hellevoetsluis,40049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,1,1
794,30,Noord-Brabant,Helmond,91524,0,0,0,0,1,1,4,4,4,4,5,7,11,12,14.0,16.0,17.0,17.0,17.0,19,20,22
531,28,Zuid-Holland,Hendrik-Ido-Ambacht,30966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
164,23,Overijssel,Hengelo,80683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,3,4,4
1966,20,Groningen,Het Hogeland,47888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
252,25,Gelderland,Heumen,16486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,3,5,6
797,30,Noord-Brabant,Heusden,44135,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2.0,4.0,4.0,4.0,4.0,4,5,6
534,28,Zuid-Holland,Hillegom,21966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,1
798,30,Noord-Brabant,Hilvarenbeek,15334,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,5.0,5.0,5.0,4.0,4,4,4
402,27,Noord-Holland,Hilversum,90238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,3,3
1963,28,Zuid-Holland,Hoeksche Waard,86656,0,0,0,0,0,0,1,1,1,2,2,2,2,2,1.0,1.0,1.0,2.0,4.0,6,8,12
1735,23,Overijssel,Hof van Twente,34940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1,3,3
1911,27,Noord-Holland,Hollands Kroon,47815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1,3
118,22,Drenthe,Hoogeveen,55662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.0,2.0,2.0,2,3,3
405,27,Noord-Holland,Hoorn,73004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1,2
1507,31,Limburg,Horst aan de Maas,42291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,3.0,3.0,5.0,8,8,10
321,26,Utrecht,Houten,49911,0,0,0,0,1,1,1,9,9,13,13,13,13,13,13.0,13.0,13.0,13.0,13.0,13,14,17
406,27,Noord-Holland,Huizen,41273,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1.0,1.0,1.0,1.0,1.0,1,2,3
677,29,Zeeland,Hulst,27524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
353,26,Utrecht,IJsselstein,34160,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1.0,1.0,1.0,2.0,4.0,6,7,8
1884,28,Zuid-Holland,Kaag en Braassem,26866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1
166,23,Overijssel,Kampen,53779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,2,2
678,29,Zeeland,Kapelle,12785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,2,2
537,28,Zuid-Holland,Katwijk,65302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,2,2
928,31,Limburg,Kerkrade,45642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,2.0,3,3,3
1598,27,Noord-Holland,Koggenland,22738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1,1,1
542,28,Zuid-Holland,Krimpen aan den IJssel,29376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1,1,2
1931,28,Zuid-Holland,Krimpenerwaard,56048,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3.0,3.0,3.0,4.0,4.0,4,4,5
1659,30,Noord-Brabant,Laarbeek,22333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,1,2,4
1685,30,Noord-Brabant,Landerd,15529,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2.0,4.0,5.0,5.0,10.0,14,16,18
882,31,Limburg,Landgraaf,37591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,4.0,4.0,4.0,4,7,7
415,27,Noord-Holland,Landsmeer,11488,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,2.0,2.0,3.0,3.0,3,3,3
416,27,Noord-Holland,Langedijk,27992,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,3.0,3.0,4.0,4.0,4,4,4
1621,28,Zuid-Holland,Lansingerland,61601,0,0,0,0,0,0,0,0,1,2,2,3,4,4,4.0,4.0,4.0,5.0,5.0,7,10,13
417,27,Noord-Holland,Laren,11195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
80,21,Friesland,Leeuwarden,123107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,2.0,3,4,5
546,28,Zuid-Holland,Leiden,124899,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,4.0,4.0,4.0,8.0,8,11,12
547,28,Zuid-Holland,Leiderdorp,27109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,2,2
